City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,73.47,78,100,37.09,PN,Tue Jul 25 21:13:03 2023
1,iskateley,67.6803,53.1512,63.32,75,65,3.67,RU,Tue Jul 25 21:15:33 2023
2,koidu,8.4167,-10.8333,71.44,100,100,1.07,SL,Tue Jul 25 21:15:33 2023
3,grytviken,-54.2811,-36.5092,26.78,83,83,9.71,GS,Tue Jul 25 21:13:06 2023
4,rawson,-43.3002,-65.1023,42.46,78,24,11.12,AR,Tue Jul 25 21:13:50 2023
5,sorong,-0.8833,131.25,81.99,75,71,12.17,ID,Tue Jul 25 21:15:34 2023
6,new norfolk,-42.7826,147.0587,60.3,73,100,7.74,AU,Tue Jul 25 21:15:34 2023
7,puerto natales,-51.7236,-72.4875,27.77,92,82,4.88,CL,Tue Jul 25 21:15:34 2023
8,stanley,54.868,-1.6985,53.53,92,75,5.75,GB,Tue Jul 25 21:15:34 2023
9,port-aux-francais,-49.35,70.2167,38.39,94,100,31.74,TF,Tue Jul 25 21:12:58 2023
10,rongelap,11.1635,166.8941,83.5,75,100,15.68,MH,Tue Jul 25 21:15:35 2023
11,kapuskasing,49.4169,-82.4331,68.09,63,75,8.05,CA,Tue Jul 25 21:15:35 2023
12,albany,42.6001,-73.9662,67.8,90,64,1.01,US,Tue Jul 25 21:15:00 2023
13,lebu,-37.6167,-73.65,48.15,86,10,3.06,CL,Tue Jul 25 21:14:09 2023
14,dobryanka,58.4619,56.4165,60.46,94,31,5.91,RU,Tue Jul 25 21:15:36 2023
15,invercargill,-46.4,168.35,47.12,69,89,9.53,NZ,Tue Jul 25 21:13:03 2023
16,riverton,40.5219,-111.9391,86.49,35,0,19.57,US,Tue Jul 25 21:13:11 2023
17,camana,-16.6228,-72.7111,62.1,88,39,7.94,PE,Tue Jul 25 21:15:37 2023
18,ushuaia,-54.8,-68.3,33.46,75,75,13.8,AR,Tue Jul 25 21:15:37 2023
19,cruzeiro do sul,-29.5128,-51.9853,64.51,94,100,1.25,BR,Tue Jul 25 21:15:37 2023
20,happy valley-goose bay,53.3168,-60.3315,64.71,94,75,5.75,CA,Tue Jul 25 21:13:44 2023
21,puerto baquerizo moreno,-0.9,-89.6,77.16,81,97,10.54,EC,Tue Jul 25 21:12:28 2023
22,yuzhno-kurilsk,44.0306,145.8556,72.21,82,79,2.37,RU,Tue Jul 25 21:15:38 2023
23,al bawiti,28.3492,28.8659,77.11,66,4,7.96,EG,Tue Jul 25 21:15:39 2023
24,angra do heroismo,38.65,-27.2167,72.21,89,40,6.17,PT,Tue Jul 25 21:15:39 2023
25,margaret river,-33.95,115.0667,52.88,78,98,20.18,AU,Tue Jul 25 21:15:40 2023
26,manismata,-2.4667,111.0333,85.71,56,81,5.84,ID,Tue Jul 25 21:15:40 2023
27,ajuchitlan,20.7167,-100.0167,54.79,86,94,5.88,MX,Tue Jul 25 21:15:41 2023
28,vodnyy,63.5046,53.4095,62.62,73,56,1.39,RU,Tue Jul 25 21:15:41 2023
29,waitangi,-43.9535,-176.5597,49.82,93,100,3.0,NZ,Tue Jul 25 21:15:42 2023
30,fort bragg,35.139,-79.006,83.93,72,0,4.61,US,Tue Jul 25 21:15:42 2023
31,freeport,40.6576,-73.5832,71.58,83,75,1.99,US,Tue Jul 25 21:15:42 2023
32,whitehorse,60.7161,-135.0538,59.77,88,75,6.91,CA,Tue Jul 25 21:15:42 2023
33,blackmans bay,-43.0167,147.3167,59.13,64,100,6.89,AU,Tue Jul 25 21:15:43 2023
34,port mathurin,-19.6833,63.4167,73.94,78,44,14.38,MU,Tue Jul 25 21:15:43 2023
